Player,Game,Matches,Runs,Goals,Assists,StrikeRate,WinPercentage,Consistency,Team
Virat Kohli,Cricket,20,950,0,0,138.5,72,9.1,India
Rohit Sharma,Cricket,20,870,0,0,132.4,68,8.7,India
Shubman Gill,Cricket,18,760,0,0,140.2,70,8.5,India
KL Rahul,Cricket,17,690,0,0,128.6,66,8.0,India
Babar Azam,Cricket,21,920,0,0,136.2,74,9.0,Pakistan
Jos Buttler,Cricket,19,810,0,0,142.1,69,8.8,England
Steve Smith,Cricket,19,830,0,0,129.5,71,8.9,Australia
David Warner,Cricket,18,710,0,0,130.7,64,8.1,Australia
Lionel Messi,Football,25,0,18,10,0,80,9.5,Argentina
Cristiano Ronaldo,Football,24,0,20,5,0,75,9.2,Portugal
Neymar Jr,Football,22,0,14,12,0,70,8.9,Brazil
Kylian Mbappe,Football,23,0,16,7,0,78,9.0,France
Erling Haaland,Football,21,0,22,4,0,82,9.3,Norway
Kevin De Bruyne,Football,24,0,8,15,0,76,8.8,Belgium
Harry Kane,Football,22,0,17,6,0,74,8.7,England
Mohamed Salah,Football,23,0,15,8,0,77,8.9,Egypt
